date,month,day,quartr,top10gross,num1gross,num_releases,num1
1999-12-31,Dec,Fri,4,21644789,5052000,10,Stuart Little
1999-12-30,Dec,Thu,4,29490641,5946193,11,Stuart Little
1999-12-29,Dec,Wed,4,28195282,6166036,13,Stuart Little
1999-12-28,Dec,Tue,4,29492777,6066972,12,Stuart Little
1999-12-27,Dec,Mon,4,29964854,5726201,12,Stuart Little
1999-12-26,Dec,Sun,4,38671241,6333000,11,The Talented Mr. Ripley
1999-12-25,Dec,Sat,4,32822167,6389000,10,The Talented Mr. Ripley
1999-12-24,Dec,Fri,4,12745987,3137000,8,Stuart Little
1999-12-23,Dec,Thu,4,17614695,3941000,8,Stuart Little
1999-12-22,Dec,Wed,4,16388623,3623513,9,Any Given Sunday
1999-12-21,Dec,Tue,4,10566670,3009818,10,Stuart Little
1999-12-20,Dec,Mon,4,8971753,2513265,11,Stuart Little
1999-12-19,Dec,Sun,4,18018152,4837000,9,Stuart Little
1999-12-18,Dec,Sat,4,23901734,6341000,6,Stuart Little
1999-12-17,Dec,Fri,4,14673937,3688000,6,Stuart Little
1999-12-16,Dec,Thu,4,3112983,1402860,9,The Green Mile
1999-12-15,Dec,Wed,4,3064240,1453873,9,The Green Mile
1999-12-14,Dec,Tue,4,3236994,1567610,9,The Green Mile
1999-12-13,Dec,Mon,4,2992640,1460627,9,The Green Mile
1999-12-12,Dec,Sun,4,12269688,5574688,9,Toy Story 2
1999-12-11,Dec,Sat,4,18713373,8538373,4,Toy Story 2
1999-12-10,Dec,Fri,4,11434819,5749000,4,The Green Mile
1999-12-09,Dec,Thu,4,2297805,1259286,9,Toy Story 2
1999-12-08,Dec,Wed,4,2342684,1306074,9,Toy Story 2
1999-12-07,Dec,Tue,4,2597902,1411642,9,Toy Story 2
1999-12-06,Dec,Mon,4,2359360,1342091,9,Toy Story 2
1999-12-05,Dec,Sun,4,12230733,8459733,8,Toy Story 2
1999-12-04,Dec,Sat,4,18537817,12795817,4,Toy Story 2
1999-12-03,Dec,Fri,4,10113726,6504726,4,Toy Story 2
1999-12-02,Dec,Thu,4,3361617,1872573,11,Toy Story 2
1999-12-01,Dec,Wed,4,3424591,1951463,11,Toy Story 2
1999-11-30,Nov,Tue,4,3896428,2204032,11,Toy Story 2
1999-11-29,Nov,Mon,4,4075037,2511086,11,Toy Story 2
1999-11-28,Nov,Sun,4,20056026,13431816,10,Toy Story 2
1999-11-27,Nov,Sat,4,33264811,21350621,7,Toy Story 2
1999-11-26,Nov,Fri,4,34961232,22606402,7,Toy Story 2
1999-11-25,Nov,Thu,4,19875759,13143034,7,Toy Story 2
1999-11-24,Nov,Wed,4,14958921,9570911,7,Toy Story 2
1999-11-23,Nov,Tue,4,9185703,3363208,21,The World Is Not Enough
1999-11-22,Nov,Mon,4,7061062,2601907,21,The World Is Not Enough
1999-11-21,Nov,Sun,4,25714000,8767000,21,The World Is Not Enough
1999-11-20,Nov,Sat,4,42790000,14220000,18,The World Is Not Enough
1999-11-19,Nov,Fri,4,31840000,12130000,18,The World Is Not Enough
1999-11-18,Nov,Thu,4,4087571,862908,21,Pokémon: The First Movie - Mewtwo Strikes Back
