date,month,day,quart,top10gross,num1gross,num_releases,num1
2022-12-31,Dec,Sat,4,27962493,18053159,30,Avatar: The Way of Water
2022-12-30,Dec,Fri,4,37900613,24836835,30,Avatar: The Way of Water
2022-12-29,Dec,Thu,4,31204428,20117061,27,Avatar: The Way of Water
2022-12-28,Dec,Wed,4,31866473,20582014,27,Avatar: The Way of Water
2022-12-27,Dec,Tue,4,37343124,24128503,27,Avatar: The Way of Water
2022-12-26,Dec,Mon,4,46963277,32270430,28,Avatar: The Way of Water
2022-12-25,Dec,Sun,4,43485546,29179791,27,Avatar: The Way of Water
2022-12-24,Dec,Sat,4,21255461,14869288,27,Avatar: The Way of Water
2022-12-23,Dec,Fri,4,29211733,19289141,27,Avatar: The Way of Water
2022-12-22,Dec,Thu,4,20101091,14632040,29,Avatar: The Way of Water
2022-12-21,Dec,Wed,4,21315270,14403438,30,Avatar: The Way of Water
2022-12-20,Dec,Tue,4,21925733,18288904,30,Avatar: The Way of Water
2022-12-19,Dec,Mon,4,19052001,16257078,29,Avatar: The Way of Water
2022-12-18,Dec,Sun,4,42230148,36572069,30,Avatar: The Way of Water
2022-12-17,Dec,Sat,4,51418191,44327887,29,Avatar: The Way of Water
2022-12-16,Dec,Fri,4,57866360,53200270,29,Avatar: The Way of Water
2022-12-15,Dec,Thu,4,2282964,688851,32,Black Panther: Wakanda Forever
2022-12-14,Dec,Wed,4,3018611,909059,33,Black Panther: Wakanda Forever
2022-12-13,Dec,Tue,4,3932901,1144342,35,Black Panther: Wakanda Forever
2022-12-12,Dec,Mon,4,2938862,903453,33,Black Panther: Wakanda Forever
2022-12-11,Dec,Sun,4,9510921,3195195,35,Black Panther: Wakanda Forever
2022-12-10,Dec,Sat,4,15466337,5178818,36,Black Panther: Wakanda Forever
2022-12-09,Dec,Fri,4,8846320,2860689,34,Black Panther: Wakanda Forever
2022-12-08,Dec,Thu,4,3792849,1165072,29,Black Panther: Wakanda Forever
2022-12-07,Dec,Wed,4,3943414,1144653,28,Black Panther: Wakanda Forever
2022-12-06,Dec,Tue,4,5526292,1567075,30,Black Panther: Wakanda Forever
2022-12-05,Dec,Mon,4,3895004,1162850,29,Black Panther: Wakanda Forever
2022-12-04,Dec,Sun,4,13327779,4908833,29,Black Panther: Wakanda Forever
2022-12-03,Dec,Sat,4,21746080,8171837,31,Black Panther: Wakanda Forever
2022-12-02,Dec,Fri,4,14111815,4869770,29,Violent Night
2022-12-01,Dec,Thu,4,4767528,1851240,25,Black Panther: Wakanda Forever
2022-11-30,Nov,Wed,4,4405292,1918716,24,Black Panther: Wakanda Forever
2022-11-29,Nov,Tue,4,5848911,2681411,25,Black Panther: Wakanda Forever
2022-11-28,Nov,Mon,4,4597554,2208258,24,Black Panther: Wakanda Forever
2022-11-27,Nov,Sun,4,20116146,9754235,28,Black Panther: Wakanda Forever
2022-11-26,Nov,Sat,4,34060152,17599193,29,Black Panther: Wakanda Forever
2022-11-25,Nov,Fri,4,35559618,18230476,29,Black Panther: Wakanda Forever
2022-11-24,Nov,Thu,4,17101407,8164083,30,Black Panther: Wakanda Forever
2022-11-23,Nov,Wed,4,21821636,10052869,32,Black Panther: Wakanda Forever
2022-11-22,Nov,Tue,4,14128236,9492924,29,Black Panther: Wakanda Forever
2022-11-21,Nov,Mon,4,11288507,7002759,29,Black Panther: Wakanda Forever
2022-11-20,Nov,Sun,4,28259098,19710460,29,Black Panther: Wakanda Forever
2022-11-19,Nov,Sat,4,41248978,28772668,29,Black Panther: Wakanda Forever
2022-11-18,Nov,Fri,4,29488645,17999138,29,Black Panther: Wakanda Forever
2022-11-17,Nov,Thu,4,8937676,7480079,27,Black Panther: Wakanda Forever
2022-11-16,Nov,Wed,4,9783542,8110601,29,Black Panther: Wakanda Forever
2022-11-15,Nov,Tue,4,14854835,12636707,28,Black Panther: Wakanda Forever
2022-11-14,Nov,Mon,4,12776780,11125499,29,Black Panther: Wakanda Forever
2022-11-13,Nov,Sun,4,47113613,40922989,29,Black Panther: Wakanda Forever
2022-11-12,Nov,Sat,4,66610882,56131051,30,Black Panther: Wakanda Forever
2022-11-11,Nov,Fri,4,93156358,84285721,31,Black Panther: Wakanda Forever
2022-11-10,Nov,Thu,4,3319142,951078,33,Black Adam
2022-11-09,Nov,Wed,4,3634689,1070591,34,Black Adam
2022-11-08,Nov,Tue,4,6317801,2055912,33,Black Adam
2022-11-07,Nov,Mon,4,4174057,1328183,34,Black Adam
2022-11-06,Nov,Sun,4,14155088,5270433,34,Black Adam
2022-11-05,Nov,Sat,4,22499016,8296544,34,Black Adam
2022-11-04,Nov,Fri,4,17234584,4838903,34,One Piece Film: Red
2022-11-03,Nov,Thu,4,4409675,1631838,34,Black Adam
2022-11-02,Nov,Wed,4,4534367,1720811,35,Black Adam
2022-11-01,Nov,Tue,4,6737881,2604658,33,Black Adam
2022-10-31,Oct,Mon,4,7047076,1977587,34,Black Adam
2022-10-30,Oct,Sun,4,18278615,8207517,36,Black Adam
2022-10-29,Oct,Sat,4,26108515,11812685,37,Black Adam
2022-10-28,Oct,Fri,4,19554153,7451938,37,Black Adam
2022-10-27,Oct,Thu,4,6463896,3124177,35,Black Adam
2022-10-26,Oct,Wed,4,7009550,3353669,33,Black Adam
2022-10-25,Oct,Tue,4,10586504,5453792,33,Black Adam
2022-10-24,Oct,Mon,4,8220793,4502706,34,Black Adam
2022-10-23,Oct,Sun,4,27677361,16603514,33,Black Adam
2022-10-22,Oct,Sat,4,41349182,23712485,34,Black Adam
2022-10-21,Oct,Fri,4,41169215,26688324,34,Black Adam
2022-10-20,Oct,Thu,4,3484078,1062103,34,Smile
2022-10-19,Oct,Wed,4,4142565,1274995,35,Halloween Ends
2022-10-18,Oct,Tue,4,5793095,2085660,35,Halloween Ends
2022-10-17,Oct,Mon,4,4775384,1751325,35,Halloween Ends
2022-10-16,Oct,Sun,4,15516864,6642010,35,Halloween Ends
2022-10-15,Oct,Sat,4,27225421,13032850,35,Halloween Ends
2022-10-14,Oct,Fri,4,29954983,20375495,34,Halloween Ends
2022-10-13,Oct,Thu,4,4127828,1521240,39,Smile
2022-10-12,Oct,Wed,4,4441233,1659865,39,Smile
2022-10-11,Oct,Tue,4,5856705,2084533,37,Smile
2022-10-10,Oct,Mon,4,7904958,2665031,39,Smile
2022-10-09,Oct,Sun,4,15440552,5676188,41,Smile
2022-10-08,Oct,Sat,4,21686777,7450041,41,Smile
2022-10-07,Oct,Fri,4,16684348,5416339,41,Smile
2022-10-06,Oct,Thu,4,4795451,2091135,45,Smile
2022-10-05,Oct,Wed,4,5442160,2410604,44,Smile
2022-10-04,Oct,Tue,4,6726815,2981567,43,Smile
2022-10-03,Oct,Mon,4,4782388,2201431,44,Smile
2022-10-02,Oct,Sun,4,14706576,5759618,47,Smile
2022-10-01,Oct,Sat,4,22876709,8615905,46,Smile
2022-09-30,Sep,Fri,3,19336153,8234402,46,Smile
2022-09-29,Sep,Thu,3,4153601,1154262,46,Don't Worry Darling
2022-09-28,Sep,Wed,3,4096881,1322508,43,Don't Worry Darling
2022-09-27,Sep,Tue,3,6003902,2006011,44,Don't Worry Darling
2022-09-26,Sep,Mon,3,5269152,1668649,45,Don't Worry Darling
2022-09-25,Sep,Sun,3,14431146,4106237,47,Don't Worry Darling
2022-09-24,Sep,Sat,3,21281664,5777095,47,Don't Worry Darling
2022-09-23,Sep,Fri,3,20159356,9469881,47,Don't Worry Darling
2022-09-22,Sep,Thu,3,3230224,1212564,48,The Woman King
2022-09-21,Sep,Wed,3,3745150,1337259,48,The Woman King
2022-09-20,Sep,Tue,3,5211892,2115447,48,The Woman King
2022-09-19,Sep,Mon,3,3880097,1437012,48,The Woman King
2022-09-18,Sep,Sun,3,11742235,5110767,51,The Woman King
2022-09-17,Sep,Sat,3,17100115,7121993,52,The Woman King
2022-09-16,Sep,Fri,3,14406673,6818682,50,The Woman King
2022-09-15,Sep,Thu,3,2363949,774940,42,Barbarian
2022-09-14,Sep,Wed,3,2747409,940974,45,Barbarian
2022-09-13,Sep,Tue,3,4000814,1337647,44,Barbarian
2022-09-12,Sep,Mon,3,2827557,1017924,45,Barbarian
2022-09-11,Sep,Sun,3,9196286,2737004,46,Barbarian
2022-09-10,Sep,Sat,3,14077942,3962988,47,Barbarian
2022-09-09,Sep,Fri,3,10701752,3843956,47,Barbarian
2022-09-08,Sep,Thu,3,2299144,395645,40,After Ever Happy
2022-09-07,Sep,Wed,3,2837347,555056,38,After Ever Happy
2022-09-06,Sep,Tue,3,3296795,525700,37,Bullet Train
2022-09-05,Sep,Mon,3,11941671,1906497,42,Top Gun: Maverick
2022-09-04,Sep,Sun,3,14772769,2290699,41,Top Gun: Maverick
2022-09-03,Sep,Sat,3,18780708,2617003,40,Top Gun: Maverick
2022-09-02,Sep,Fri,3,8858474,1754503,39,Spider-Man: No Way Home
2022-09-01,Sep,Thu,3,3216411,502540,40,Bullet Train
2022-08-31,Aug,Wed,3,3534373,525045,40,Bullet Train
2022-08-30,Aug,Tue,3,5339850,776588,39,Bullet Train
2022-08-29,Aug,Mon,3,3679873,533295,40,The Invitation
2022-08-28,Aug,Sun,3,11446998,1609214,42,Bullet Train
2022-08-27,Aug,Sat,3,17390684,2515143,41,The Invitation
2022-08-26,Aug,Fri,3,12570356,2681924,41,The Invitation
2022-08-25,Aug,Thu,3,5080823,910332,36,Dragon Ball Super: Super Hero
2022-08-24,Aug,Wed,3,5605032,1054238,35,Dragon Ball Super: Super Hero
2022-08-23,Aug,Tue,3,8346802,1594446,36,Dragon Ball Super: Super Hero
2022-08-22,Aug,Mon,3,6933325,1515456,35,Dragon Ball Super: Super Hero
2022-08-21,Aug,Sun,3,18472443,4396179,38,Dragon Ball Super: Super Hero
2022-08-20,Aug,Sat,3,25615322,5814424,38,Dragon Ball Super: Super Hero
2022-08-19,Aug,Fri,3,25193434,10916316,37,Dragon Ball Super: Super Hero
2022-08-18,Aug,Thu,3,5941285,1258796,40,Bullet Train
2022-08-17,Aug,Wed,3,6863429,1521490,39,Bullet Train
2022-08-16,Aug,Tue,3,9042223,2206353,39,Bullet Train
2022-08-15,Aug,Mon,3,6615467,1510422,37,Bullet Train
2022-08-14,Aug,Sun,3,16362331,4078187,40,Bullet Train
2022-08-13,Aug,Sat,3,22680785,5465276,40,Bullet Train
